*** Booting nRF Connect SDK v3.0.2-89ba1294ac9b ***
*** Using Zephyr OS v4.0.99-f791c49f492c ***
Enhanced ShockBurst prx sample
TX Performance test and RSSI value
[PRX] Version: 3 | Build: Jul  3 2025 09:07:16
Board: nrf54l15dk
Device ID: 416016678
Check FEM TX support
FEM TX support: disabled
Using 1 Mbps bitrate
HF clock started
Set TX power to: 8 dBm (0x08)
Initialization complete
Setting up for packet receiption
----------------------
ID:510011128 | Board:nRF21540DK FEM Active | Counter:115 | TX: 22 dBm | RSSI:-69 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:116 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:117 | TX: 22 dBm | RSSI:-65 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:118 | TX: 22 dBm | RSSI:-71 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:119 | TX: 22 dBm | RSSI:-71 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:120 | TX: 22 dBm | RSSI:-80 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:121 | TX: 22 dBm | RSSI:-70 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:122 | TX: 22 dBm | RSSI:-69 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:123 | TX: 22 dBm | RSSI:-75 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:124 | TX: 22 dBm | RSSI:-77 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:125 | TX: 22 dBm | RSSI:-73 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:126 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:127 | TX: 22 dBm | RSSI:-73 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:128 | TX: 22 dBm | RSSI:-77 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:129 | TX: 22 dBm | RSSI:-84 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:130 | TX: 22 dBm | RSSI:-73 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:131 | TX: 22 dBm | RSSI:-78 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:132 | TX: 22 dBm | RSSI:-71 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:133 | TX: 22 dBm | RSSI:-70 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:134 | TX: 22 dBm | RSSI:-71 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:135 | TX: 22 dBm | RSSI:-74 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:136 | TX: 22 dBm | RSSI:-74 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:137 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:138 | TX: 22 dBm | RSSI:-86 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:139 | TX: 22 dBm | RSSI:-81 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:140 | TX: 22 dBm | RSSI:-75 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:141 | TX: 22 dBm | RSSI:-74 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:142 | TX: 22 dBm | RSSI:-77 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:143 | TX: 22 dBm | RSSI:-75 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:144 | TX: 22 dBm | RSSI:-89 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:145 | TX: 22 dBm | RSSI:-82 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:146 | TX: 22 dBm | RSSI:-86 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:147 | TX: 22 dBm | RSSI:-74 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:148 | TX: 22 dBm | RSSI:-78 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:149 | TX: 22 dBm | RSSI:-83 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:150 | TX: 22 dBm | RSSI:-73 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:151 | TX: 22 dBm | RSSI:-76 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:152 | TX: 22 dBm | RSSI:-74 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:153 | TX: 22 dBm | RSSI:-77 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:154 | TX: 22 dBm | RSSI:-94 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:155 | TX: 22 dBm | RSSI:-92 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:156 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:157 | TX: 22 dBm | RSSI:-73 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:158 | TX: 22 dBm | RSSI:-75 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:159 | TX: 22 dBm | RSSI:-80 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:160 | TX: 22 dBm | RSSI:-76 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:161 | TX: 22 dBm | RSSI:-80 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:162 | TX: 22 dBm | RSSI:-76 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:164 | TX: 22 dBm | RSSI:-81 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:165 | TX: 22 dBm | RSSI:-75 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:166 | TX: 22 dBm | RSSI:-82 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:167 | TX: 22 dBm | RSSI:-81 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:168 | TX: 22 dBm | RSSI:-66 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:169 | TX: 22 dBm | RSSI:-68 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:170 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:171 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:172 | TX: 22 dBm | RSSI:-84 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:173 | TX: 22 dBm | RSSI:-71 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:174 | TX: 22 dBm | RSSI:-75 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:175 | TX: 22 dBm | RSSI:-77 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:176 | TX: 22 dBm | RSSI:-70 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:177 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:178 | TX: 22 dBm | RSSI:-79 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:179 | TX: 22 dBm | RSSI:-74 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:180 | TX: 22 dBm | RSSI:-79 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:181 | TX: 22 dBm | RSSI:-79 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:182 | TX: 22 dBm | RSSI:-81 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:183 | TX: 22 dBm | RSSI:-86 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:184 | TX: 22 dBm | RSSI:-80 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:185 | TX: 22 dBm | RSSI:-88 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:186 | TX: 22 dBm | RSSI:-91 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:187 | TX: 22 dBm | RSSI:-83 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:188 | TX: 22 dBm | RSSI:-80 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:189 | TX: 22 dBm | RSSI:-86 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:190 | TX: 22 dBm | RSSI:-92 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:191 | TX: 22 dBm | RSSI:-79 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:192 | TX: 22 dBm | RSSI:-89 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:193 | TX: 22 dBm | RSSI:-91 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:194 | TX: 22 dBm | RSSI:-79 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:195 | TX: 22 dBm | RSSI:-83 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:196 | TX: 22 dBm | RSSI:-85 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:197 | TX: 22 dBm | RSSI:-82 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:198 | TX: 22 dBm | RSSI:-85 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:199 | TX: 22 dBm | RSSI:-86 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:200 | TX: 22 dBm | RSSI:-90 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:201 | TX: 22 dBm | RSSI:-86 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:203 | TX: 22 dBm | RSSI:-87 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:204 | TX: 22 dBm | RSSI:-91 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:205 | TX: 22 dBm | RSSI:-90 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:207 | TX: 22 dBm | RSSI:-89 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:208 | TX: 22 dBm | RSSI:-85 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:210 | TX: 22 dBm | RSSI:-92 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:211 | TX: 22 dBm | RSSI:-93 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:213 | TX: 22 dBm | RSSI:-89 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:214 | TX: 22 dBm | RSSI:-85 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:215 | TX: 22 dBm | RSSI:-82 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:216 | TX: 22 dBm | RSSI:-87 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:217 | TX: 22 dBm | RSSI:-93 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:219 | TX: 22 dBm | RSSI:-83 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:221 | TX: 22 dBm | RSSI:-85 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:222 | TX: 22 dBm | RSSI:-89 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:223 | TX: 22 dBm | RSSI:-88 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:224 | TX: 22 dBm | RSSI:-93 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:225 | TX: 22 dBm | RSSI:-93 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:226 | TX: 22 dBm | RSSI:-91 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:227 | TX: 22 dBm | RSSI:-88 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:228 | TX: 22 dBm | RSSI:-86 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:229 | TX: 22 dBm | RSSI:-85 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:230 | TX: 22 dBm | RSSI:-87 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:232 | TX: 22 dBm | RSSI:-91 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:233 | TX: 22 dBm | RSSI:-92 dBm (No Link)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:234 | TX: 22 dBm | RSSI:-93 dBm (No Link)
