*** Booting nRF Connect SDK v3.0.2-89ba1294ac9b ***
*** Using Zephyr OS v4.0.99-f791c49f492c ***
Enhanced ShockBurst prx sample
TX Performance test and RSSI value
[PRX] Version: 3 | Build: Jul  2 2025 19:05:39
Board: nrf54l15dk
Device ID: 416016678
Check FEM TX support
FEM TX support: disabled
Using 1 Mbps bitrate
HF clock started
Initialization complete
Setting up for packet receiption
----------------------
ID:3170380583 | Board:nRF54L15DK            | Counter:234 | TX:  8 dBm | RSSI:-59 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:235 | TX:  8 dBm | RSSI:-61 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:236 | TX:  8 dBm | RSSI:-62 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:237 | TX:  8 dBm | RSSI:-58 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:238 | TX:  8 dBm | RSSI:-65 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:239 | TX:  8 dBm | RSSI:-71 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter:240 | TX:  8 dBm | RSSI:-62 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:241 | TX:  8 dBm | RSSI:-65 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:242 | TX:  8 dBm | RSSI:-64 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:243 | TX:  8 dBm | RSSI:-64 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:244 | TX:  8 dBm | RSSI:-77 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter:245 | TX:  8 dBm | RSSI:-68 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:246 | TX:  8 dBm | RSSI:-66 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:247 | TX:  8 dBm | RSSI:-62 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:248 | TX:  8 dBm | RSSI:-60 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:249 | TX:  8 dBm | RSSI:-61 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:250 | TX:  8 dBm | RSSI:-68 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:251 | TX:  8 dBm | RSSI:-70 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:252 | TX:  8 dBm | RSSI:-70 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:253 | TX:  8 dBm | RSSI:-67 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:254 | TX:  8 dBm | RSSI:-84 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter:255 | TX:  8 dBm | RSSI:-70 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:  0 | TX:  8 dBm | RSSI:-69 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:  1 | TX:  8 dBm | RSSI:-67 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:  2 | TX:  8 dBm | RSSI:-65 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:  3 | TX:  8 dBm | RSSI:-79 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter:  4 | TX:  8 dBm | RSSI:-70 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:  5 | TX:  8 dBm | RSSI:-70 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:  6 | TX:  8 dBm | RSSI:-79 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter:  7 | TX:  8 dBm | RSSI:-79 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter:  8 | TX:  8 dBm | RSSI:-81 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter:  9 | TX:  8 dBm | RSSI:-76 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 10 | TX:  8 dBm | RSSI:-74 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 11 | TX:  8 dBm | RSSI:-74 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 12 | TX:  8 dBm | RSSI:-81 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 13 | TX:  8 dBm | RSSI:-76 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 14 | TX:  8 dBm | RSSI:-75 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 15 | TX:  8 dBm | RSSI:-72 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 16 | TX:  8 dBm | RSSI:-84 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 17 | TX:  8 dBm | RSSI:-72 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 18 | TX:  8 dBm | RSSI:-72 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 19 | TX:  8 dBm | RSSI:-71 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 20 | TX:  8 dBm | RSSI:-81 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 21 | TX:  8 dBm | RSSI:-73 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 22 | TX:  8 dBm | RSSI:-74 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 23 | TX:  8 dBm | RSSI:-77 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 24 | TX:  8 dBm | RSSI:-83 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 25 | TX:  8 dBm | RSSI:-73 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 26 | TX:  8 dBm | RSSI:-75 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 27 | TX:  8 dBm | RSSI:-83 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 28 | TX:  8 dBm | RSSI:-78 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 28 | TX:  8 dBm | RSSI:-16 dBm (Excellent)
ID:3170380583 | Board:nRF54L15DK            | Counter: 30 | TX:  8 dBm | RSSI:-73 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 31 | TX:  8 dBm | RSSI:-80 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 32 | TX:  8 dBm | RSSI:-80 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 33 | TX:  8 dBm | RSSI:-82 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 34 | TX:  8 dBm | RSSI:-82 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 35 | TX:  8 dBm | RSSI:-85 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 36 | TX:  8 dBm | RSSI:-75 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 37 | TX:  8 dBm | RSSI:-82 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 38 | TX:  8 dBm | RSSI:-73 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 39 | TX:  8 dBm | RSSI:-71 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 40 | TX:  8 dBm | RSSI:-77 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 41 | TX:  8 dBm | RSSI:-82 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter: 42 | TX:  8 dBm | RSSI:-77 dBm (Very Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 43 | TX:  8 dBm | RSSI:-71 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 44 | TX:  8 dBm | RSSI:-73 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter: 44 | TX:  8 dBm | RSSI:-127 dBm (No Link)
ID:3170380583 | Board:nRF54L15DK            | Counter:117 | TX:  8 dBm | RSSI:-74 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter:118 | TX:  8 dBm | RSSI:-82 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter:119 | TX:  8 dBm | RSSI:-85 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter:120 | TX:  8 dBm | RSSI:-82 dBm (Critical)
ID:3170380583 | Board:nRF54L15DK            | Counter:121 | TX:  8 dBm | RSSI:-73 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter:122 | TX:  8 dBm | RSSI:-69 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:123 | TX:  8 dBm | RSSI:-71 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter:124 | TX:  8 dBm | RSSI:-67 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:125 | TX:  8 dBm | RSSI:-68 dBm (Weak)
ID:3170380583 | Board:nRF54L15DK            | Counter:125 | TX:  8 dBm | RSSI:-16 dBm (Excellent)
ID:3170380583 | Board:nRF54L15DK            | Counter:243 | TX:  8 dBm | RSSI:-49 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:244 | TX:  8 dBm | RSSI:-40 dBm (Very Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:245 | TX:  8 dBm | RSSI:-43 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:246 | TX:  8 dBm | RSSI:-46 dBm (Good)
ID:3170380583 | Board:nRF54L15DK            | Counter:247 | TX:  8 dBm | RSSI:-32 dBm (Very Good)
